0,cnName,name,rarity,fullImgUrl,type,race,cost
1,格罗玛什·地狱咆哮,Grommash Hellscream,legendary,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_414_zhCN_GrommashHellscream.png,minion,,8
2,致死打击,Mortal Strike,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_408_zhCN_MortalStrike.png,spell,,4
3,血刃剃刀,Blood Razor,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__ICC_064_zhCN_BloodRazor.png,weapon,,4
4,英勇打击,Heroic Strike,normal,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CS2_105_zhCN_HeroicStrike.png,spell,,2
5,狂暴,Rampage,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CS2_104_zhCN_Rampage.png,spell,,2
6,顺劈斩,Cleave,normal,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CS2_114_zhCN_Cleave.png,spell,,2
7,战歌指挥官,Warsong Commander,normal,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_084_zhCN_WarsongCommander.png,minion,,3
8,严酷的监工,Cruel Taskmaster,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_603_zhCN_CruelTaskmaster.png,minion,,2
9,致命武装,Deadly Arsenal,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GIL_537_zhCN_DeadlyArsenal.png,spell,,6
10,复仇打击,Revenge,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__BRM_015_zhCN_Revenge.png,spell,,2
11,瓦格里摄魂者,Val'kyr Soulclaimer,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__ICC_408_zhCN_ValkyrSoulclaimer.png,minion,,3
12,掷斧者,Axe Flinger,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__BRM_016_zhCN_AxeFlinger.png,minion,,4
13,狂暴的狼人,Rabid Worgen,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GIL_113_zhCN_RabidWorgen.png,minion,,3
14,阿拉希武器匠,Arathi Weaponsmith,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_398_zhCN_ArathiWeaponsmith.png,minion,,4
15,苦战傀儡,Blood Warriors,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__OG_276_zhCN_BloodWarriors.png,spell,,3
16,阿莱克丝塔萨的勇士,Alexstrasza's Champion,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__AT_071_zhCN_AlexstraszasChampion.png,minion,,2
17,弹射之刃,Bouncing Blade,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GVG_050_zhCN_BouncingBlade.png,spell,,3
18,战斗机器人,Warbot,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GVG_051_zhCN_Warbot.png,minion,meths,1
19,怒火中烧,Inner Rage,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_607_zhCN_InnerRage.png,spell,,0
20,猛犸人头领,Magnataur Alpha,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__AT_067_zhCN_MagnataurAlpha.png,minion,,4
21,冲锋,Charge,normal,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CS2_103_zhCN_Charge.png,spell,,1
22,加固,Bolster,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__AT_068_zhCN_Bolster.png,spell,,2
23,库卡隆精英卫士,Kor'kron Elite,normal,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__NEW1_011_zhCN_KorkronElite.png,minion,,4
24,国王护卫者,King's Defender,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__AT_065_zhCN_KingsDefender.png,weapon,,3
25,黑嚎炮塔,Blackhowl Gunspire,legendary,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GIL_152_zhCN_BlackhowlGunspire.png,minion,,7
26,诅咒之刃,Cursed Blade,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__LOE_118_zhCN_CursedBlade.png,weapon,,1
27,血蹄勇士,Bloodhoof Brave,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__OG_218_zhCN_BloodhoofBrave.png,minion,,4
28,盾牌猛击,Shield Slam,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_410_zhCN_ShieldSlam.png,spell,,1
29,暴虐食尸鬼,Ravaging Ghoul,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__OG_149_zhCN_RavagingGhoul.png,minion,,3
30,瓦里安·乌瑞恩,Varian Wrynn,legendary,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__AT_072_zhCN_VarianWrynn.png,minion,,10
31,盾甲侍女,Shieldmaiden,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GVG_053_zhCN_Shieldmaiden.png,minion,,6
32,炽炎战斧,Fiery War Axe,normal,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CS2_106_zhCN_FieryWarAxe.png,weapon,,3
33,重碾,Crush,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GVG_052_zhCN_Crush.png,spell,,7
34,战斗怒火,Battle Rage,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_392_zhCN_BattleRage.png,spell,,2
35,废旧螺栓机甲,Screwjank Clunker,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GVG_055_zhCN_ScrewjankClunker.png,minion,meths,4
36,民兵指挥官,Militia Commander,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GIL_803_zhCN_MilitiaCommander.png,minion,,4
37,食人魔战槌,Ogre Warmaul,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GVG_054_zhCN_OgreWarmaul.png,weapon,,3
38,马尔考罗克,Malkorok,legendary,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__OG_220_zhCN_Malkorok.png,minion,,7
39,赤环蜂,Redband Wasp,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GIL_155_zhCN_RedbandWasp.png,minion,beast,2
40,寻求组队,Gather Your Party,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__LOOT_370_zhCN_GatherYourParty.png,spell,,6
41,樵夫之斧,Woodcutter's Axe,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GIL_653_zhCN_WoodcuttersAxe.png,weapon,,2
42,城镇公告员,Town Crier,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GIL_580_zhCN_TownCrier.png,minion,,1
43,战路,Warpath,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GIL_654_zhCN_Warpath.png,spell,,2
44,腐树巨人,Festeroot Hulk,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GIL_655_zhCN_FesterootHulk.png,minion,,5
45,猛击,Slam,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_391_zhCN_Slam.png,spell,,2
46,狗头人蛮兵,Kobold Barbarian,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__LOOT_041_zhCN_KoboldBarbarian.png,minion,,3
47,升级！,Upgrade!,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_409_zhCN_Upgrade.png,spell,,1
48,铸甲师,Armorsmith,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_402_zhCN_Armorsmith.png,minion,,2
49,霍巴特·钩锤,Hobart Grapplehammer,legendary,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CFM_643_zhCN_HobartGrapplehammer.png,minion,,2
50,灾厄斩杀者,Woecleaver,legendary,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__LOOT_380_zhCN_Woecleaver.png,weapon,,8
51,铁刃护手,Bladed Gauntlet,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__LOOT_044_zhCN_BladedGauntlet.png,weapon,,2
52,血吼,Gorehowl,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_411_zhCN_Gorehowl.png,weapon,,7
53,放马过来,Bring It On!,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__ICC_837_zhCN_BringItOn.png,spell,,2
54,死亡幽魂,Death Revenant,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__ICC_450_zhCN_DeathRevenant.png,minion,,5
55,灵魂洪炉,Forge of Souls,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__ICC_281_zhCN_ForgeofSouls.png,spell,,2
56,重型攻城战车,Siege Engine,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GVG_086_zhCN_SiegeEngine.png,minion,meths,5
57,斩杀,Execute,normal,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CS2_108_zhCN_Execute.png,spell,,2
58,宝石魔像,Gemstudded Golem,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__LOOT_365_zhCN_GemstuddedGolem.png,minion,,6
59,鲁莽风暴,Reckless Flurry,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__LOOT_364_zhCN_RecklessFlurry.png,spell,,3
60,恩佐斯的副官,N'Zoth's First Mate,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__OG_312_zhCN_NZothsFirstMate.png,minion,pirate,1
